drug,LD,date,p53,chk2,atr,chk1,atx,dnapk,bok,bim
doxorubicin,70,4/24/2016,2.721918296,3.012998964,0.981954934,-0.114166213,-1.398351645,-0.531965523,-1.048835462,1.252811172
doxorubicin,70,11/17/2011,1.781832437,2.024040018,0.798792909,-0.16896202,-0.724645458,-1.03389326,-0.715889692,0.485906346
doxorubicin,67,3/4/2014,2.57325795,2.447715661,0.994698619,-0.229927763,-1.147542577,-1.178925,-1.013960947,0.983188859
doxorubicin,63,2/14/2014,2.468197807,2.420635189,0.936568447,-1.353692979,-0.903549688,-1.44812354,-1.120272119,1.205296003
doxorubicin,55,2/12/2012,2.282787019,2.024318772,0.9389722,-0.258554174,-0.733040596,-1.000200416,-0.607187061,0.735958773
doxorubicin,55,11/21/2011,1.781832437,2.024040018,0.798792909,-0.16896202,-0.724645458,-1.03389326,-0.715889692,0.485906346
vincristine,90,11/17/2011,1.757019803,0.533048164,0.778984065,-1.07190801,-1.444359773,-0.433418937,-3.217911221,-0.618015827
vincristine,91,10/8/2015,1.935668245,0.653710726,0.203498144,-1.225238406,-1.434762067,-0.5881837,-3.798735519,0.938893433
vincristine,90,10/6/2014,2.42704984,1.47576942,0.227598047,-1.126243787,-3.122003756,-0.350150393,-2.063879339,0.638058346
vincristine,81,4/27/2012,1.037598337,0.677322242,0.498186058,-0.823749988,-2.061154241,-0.573279528,-3.05433406,0.201835345
vincristine,84,8/14/2012,2.257124134,0.382549647,0.412599424,-1.297171336,-2.001483491,-0.047745364,-2.928659855,-3.171613599
vincristine,86,9/11/2014,1.588933521,1.144484534,-0.021782422,-1.016801063,-2.973973399,0.030860469,-2.158482675,0.623663642
vincristine,88,11/22/2014,3.480557461,0.713395675,-0.242120904,0.982747236,0.175108951,-0.080999592,-3.833303916,0.552002948
vincristine,79,10/24/2014,1.56190801,1.107188168,0.29249666,-1.02926872,-1.841355593,0.026264015,-2.483591849,0.509088159
vincristine,84,10/5/2015,1.917010804,0.686804747,0.45673637,-0.701829732,-1.486329703,-0.415626103,-3.253141283,0.978022728
